,name,year,books_scanned
46,"BYU, Idaho Family History Library",2011,96
47,"BYU, Idaho Family History Library",2012,678
48,"BYU, Idaho Family History Library",2013,380
49,"BYU, Idaho Family History Library",2014,151
50,"BYU, Idaho Family History Library",2015,188
51,"BYU, Idaho Family History Library",2016,148
