,Index,Name,Description,Category,Images,Location,Geocode,DestinationIndex,Measure,Sources,AdditionalNotes
58,58,The Archive of Contemporary Music,,#archive,,,"40.71867548,-74.00374316",,"(books_scanned,3020,books),(pages_scanned,830998.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28manhattan%29),"Scanning center ids separated by ""||"": manhattan"
59,59,The Ohio State University,,#academic,,,"39.99926893,-83.01493372",,"(books_scanned,924,books),(pages_scanned,114057.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28tt_osu%29),"Scanning center ids separated by ""||"": tt_osu"
60,60,Trent University,,#academic,,,"44.35722473,-78.29034148",,,(https://archive.org/search?query=scanningcenter%3A%28trent%29),"Scanning center ids separated by ""||"": trent"
61,61,UCLA,,#academic,,,"34.07168305,-118.442185",,"(books_scanned,157748,books),(pages_scanned,52556267.0,pages)","(https://archive.org/search?query=scanningcenter%3A%28la%29),(https://archive.org/search?query=scanningcenter%3A%28iala%29),(https://archive.org/search?query=scanningcenter%3A%28santamonica%29),","Scanning center ids separated by ""||"": la||iala||santamonica"
62,62,UIUC,,#academic,,,"40.10440926,-88.22933583",,"(books_scanned,104372,books),(pages_scanned,26717298.0,pages)","(https://archive.org/search?query=scanningcenter%3A%28ill%29),(https://archive.org/search?query=scanningcenter%3A%28il%29),","Scanning center ids separated by ""||"": ill||il"
63,63,UNC Chapel Hill,,#academic,,,"35.91097779,-79.0487334",,"(books_scanned,59079,books),(pages_scanned,9186419.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28chapelhill%29),"Scanning center ids separated by ""||"": chapelhill"
64,64,Universidad Francisco Marroquín,,#academic,,,"14.6054948,-90.50534962",,"(books_scanned,4151,books),(pages_scanned,447305.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28guatemala%29),"Scanning center ids separated by ""||"": guatemala"
65,65,University of Alberta,,#academic,,,"53.5264397,-113.5254331",,"(books_scanned,121340,books),(pages_scanned,6987835.0,pages)","(https://archive.org/search?query=scanningcenter%3A%28alberta%29),(https://archive.org/search?query=scanningcenter%3A%28alberta%29),","Scanning center ids separated by ""||"": alberta||alberta"
66,66,University of Chinese Academy of Sciences,,#academic,,,"40.40814427,116.6823424",,"(books_scanned,1277,books),(pages_scanned,370920.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28beijing%29),"Scanning center ids separated by ""||"": beijing"
67,67,University of Connecticut,,#academic,,,"41.80696142,-72.25146626",,,(https://archive.org/search?query=scanningcenter%3A%28hbl_storrs%29),"Scanning center ids separated by ""||"": hbl_storrs"
68,68,University of Florida,,#academic,,,"29.6516662,-82.3445709",,"(books_scanned,8289,books),(pages_scanned,1335295.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28gainesville%29),"Scanning center ids separated by ""||"": gainesville"
69,69,"University of Maryland, College Park",,#academic,,,"38.9860937,-76.9456868",,"(books_scanned,2452,books),(pages_scanned,272263.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28maryland%29),"Scanning center ids separated by ""||"": maryland"
70,70,University of Pretoria,,#academic,,,"-25.7553205,28.2295439",,"(books_scanned,2435,books),(pages_scanned,441372.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28pretoria%29),"Scanning center ids separated by ""||"": pretoria"
71,71,University of Toronto,,#academic,,,"43.66441368,-79.39947221",,"(books_scanned,465884,books),(pages_scanned,152862840.0,pages)","(https://archive.org/search?query=scanningcenter%3A%28uoft%29),(https://archive.org/search?query=scanningcenter%3A%28UofT%29),","Scanning center ids separated by ""||"": uoft||UofT"
72,72,University of Victoria,,#academic,,,"48.4633746,-123.3100252",,"(books_scanned,6843,books),(pages_scanned,581098.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28tt_victoria%29),"Scanning center ids separated by ""||"": tt_victoria"
73,73,University of Warwick,,#academic,,,"52.38161719,-1.561841996",,"(books_scanned,715,books),(pages_scanned,38355.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28tt_warwick%29),"Scanning center ids separated by ""||"": tt_warwick"
74,74,Yiddish Book Center,,#academic,,,"42.32188825,-72.52766762",,"(books_scanned,1242,books),(pages_scanned,188933.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28amherst%29),"Scanning center ids separated by ""||"": amherst"
75,75,Zhejiang University,,#academic,,,"30.2628344,120.1190128",,"(books_scanned,1,books),(pages_scanned,10.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28hangzhou%29),"Scanning center ids separated by ""||"": hangzhou"
