,name,year,imagecount
51,"BYU, Provo",2009,245427.0
52,"BYU, Provo",2010,911987.0
53,"BYU, Provo",2011,1853797.0
54,"BYU, Provo",2012,993361.0
55,"BYU, Provo",2013,558966.0
56,"BYU, Provo",2014,69691.0
57,"BYU, Provo",2015,274421.0
58,"BYU, Provo",2016,463535.0
59,"BYU, Provo",2017,454135.0
60,"BYU, Provo",2018,269675.0
61,"BYU, Provo",2019,268456.0
62,"BYU, Provo",2020,268496.0
63,"BYU, Provo",2021,149387.0
64,"BYU, Provo",2022,248679.0
65,"BYU, Provo",2023,96906.0
