,name,year,books_scanned
249,Internet Archive Headquarters,2006,29
250,Internet Archive Headquarters,2007,17
251,Internet Archive Headquarters,2008,110
252,Internet Archive Headquarters,2009,8237
253,Internet Archive Headquarters,2010,59150
254,Internet Archive Headquarters,2011,24
255,Internet Archive Headquarters,2012,5
256,Internet Archive Headquarters,2015,15
257,Internet Archive Headquarters,2017,1
