,name,year,imagecount
354,Perkins School for the Blind,2015,4294.0
355,Perkins School for the Blind,2016,14850.0
356,Perkins School for the Blind,2017,21767.0
357,Perkins School for the Blind,2018,12237.0
358,Perkins School for the Blind,2019,898.0
