,name,scan_day,operator
118,Allen County Public Library Geneaology Center,2008-10-28,7
119,Allen County Public Library Geneaology Center,2008-10-29,8
120,Allen County Public Library Geneaology Center,2008-10-30,8
121,Allen County Public Library Geneaology Center,2008-10-31,7
122,Allen County Public Library Geneaology Center,2008-11-03,9
123,Allen County Public Library Geneaology Center,2008-11-04,6
124,Allen County Public Library Geneaology Center,2008-11-05,13
125,Allen County Public Library Geneaology Center,2008-11-06,13
126,Allen County Public Library Geneaology Center,2008-11-07,11
127,Allen County Public Library Geneaology Center,2008-11-10,9
128,Allen County Public Library Geneaology Center,2008-11-11,7
129,Allen County Public Library Geneaology Center,2008-11-12,9
130,Allen County Public Library Geneaology Center,2008-11-13,7
131,Allen County Public Library Geneaology Center,2008-11-14,11
132,Allen County Public Library Geneaology Center,2008-11-17,6
133,Allen County Public Library Geneaology Center,2008-11-18,8
134,Allen County Public Library Geneaology Center,2008-11-19,7
135,Allen County Public Library Geneaology Center,2008-11-20,10
136,Allen County Public Library Geneaology Center,2008-11-21,8
137,Allen County Public Library Geneaology Center,2008-11-24,7
138,Allen County Public Library Geneaology Center,2008-11-25,8
139,Allen County Public Library Geneaology Center,2008-11-26,10
140,Allen County Public Library Geneaology Center,2008-12-01,8
141,Allen County Public Library Geneaology Center,2008-12-02,12
142,Allen County Public Library Geneaology Center,2008-12-03,13
143,Allen County Public Library Geneaology Center,2008-12-04,10
144,Allen County Public Library Geneaology Center,2008-12-05,10
145,Allen County Public Library Geneaology Center,2008-12-08,10
146,Allen County Public Library Geneaology Center,2008-12-09,12
147,Allen County Public Library Geneaology Center,2008-12-10,14
148,Allen County Public Library Geneaology Center,2008-12-11,12
149,Allen County Public Library Geneaology Center,2008-12-12,6
150,Allen County Public Library Geneaology Center,2008-12-15,10
151,Allen County Public Library Geneaology Center,2008-12-16,8
152,Allen County Public Library Geneaology Center,2008-12-17,9
153,Allen County Public Library Geneaology Center,2008-12-18,9
154,Allen County Public Library Geneaology Center,2008-12-19,2
155,Allen County Public Library Geneaology Center,2008-12-22,12
156,Allen County Public Library Geneaology Center,2008-12-23,9
157,Allen County Public Library Geneaology Center,2009-01-05,10
158,Allen County Public Library Geneaology Center,2009-01-06,12
159,Allen County Public Library Geneaology Center,2009-01-07,11
160,Allen County Public Library Geneaology Center,2009-01-08,8
161,Allen County Public Library Geneaology Center,2009-01-09,7
162,Allen County Public Library Geneaology Center,2009-01-12,10
163,Allen County Public Library Geneaology Center,2009-01-13,10
164,Allen County Public Library Geneaology Center,2009-01-14,12
165,Allen County Public Library Geneaology Center,2009-01-15,9
166,Allen County Public Library Geneaology Center,2009-01-16,8
167,Allen County Public Library Geneaology Center,2009-01-19,8
168,Allen County Public Library Geneaology Center,2009-01-20,6
169,Allen County Public Library Geneaology Center,2009-01-21,9
170,Allen County Public Library Geneaology Center,2009-01-22,9
171,Allen County Public Library Geneaology Center,2009-01-23,11
172,Allen County Public Library Geneaology Center,2009-01-26,11
173,Allen County Public Library Geneaology Center,2009-01-27,12
174,Allen County Public Library Geneaology Center,2009-01-28,5
175,Allen County Public Library Geneaology Center,2009-01-29,10
176,Allen County Public Library Geneaology Center,2009-01-30,8
177,Allen County Public Library Geneaology Center,2009-02-02,9
178,Allen County Public Library Geneaology Center,2009-02-03,10
179,Allen County Public Library Geneaology Center,2009-02-04,9
180,Allen County Public Library Geneaology Center,2009-02-05,10
181,Allen County Public Library Geneaology Center,2009-02-06,8
182,Allen County Public Library Geneaology Center,2009-02-09,8
183,Allen County Public Library Geneaology Center,2009-02-10,8
184,Allen County Public Library Geneaology Center,2009-02-11,6
185,Allen County Public Library Geneaology Center,2009-02-12,9
186,Allen County Public Library Geneaology Center,2009-02-13,6
187,Allen County Public Library Geneaology Center,2009-02-17,7
188,Allen County Public Library Geneaology Center,2009-02-18,9
189,Allen County Public Library Geneaology Center,2009-02-19,9
190,Allen County Public Library Geneaology Center,2009-02-20,10
191,Allen County Public Library Geneaology Center,2009-02-23,12
192,Allen County Public Library Geneaology Center,2009-02-24,12
193,Allen County Public Library Geneaology Center,2009-02-25,10
194,Allen County Public Library Geneaology Center,2009-02-26,10
195,Allen County Public Library Geneaology Center,2009-02-27,8
196,Allen County Public Library Geneaology Center,2009-03-02,8
197,Allen County Public Library Geneaology Center,2009-03-03,12
198,Allen County Public Library Geneaology Center,2009-03-04,10
199,Allen County Public Library Geneaology Center,2009-03-05,8
200,Allen County Public Library Geneaology Center,2009-03-06,6
201,Allen County Public Library Geneaology Center,2009-03-09,9
202,Allen County Public Library Geneaology Center,2009-03-10,7
203,Allen County Public Library Geneaology Center,2009-03-11,10
204,Allen County Public Library Geneaology Center,2009-03-12,9
205,Allen County Public Library Geneaology Center,2009-03-13,7
206,Allen County Public Library Geneaology Center,2009-03-16,16
207,Allen County Public Library Geneaology Center,2009-03-17,12
208,Allen County Public Library Geneaology Center,2009-03-18,10
209,Allen County Public Library Geneaology Center,2009-03-19,12
210,Allen County Public Library Geneaology Center,2009-03-20,9
211,Allen County Public Library Geneaology Center,2009-03-23,14
212,Allen County Public Library Geneaology Center,2009-03-24,12
213,Allen County Public Library Geneaology Center,2009-03-25,12
214,Allen County Public Library Geneaology Center,2009-03-26,10
215,Allen County Public Library Geneaology Center,2009-03-27,13
216,Allen County Public Library Geneaology Center,2009-03-30,14
217,Allen County Public Library Geneaology Center,2009-03-31,11
218,Allen County Public Library Geneaology Center,2009-04-01,9
219,Allen County Public Library Geneaology Center,2009-04-02,10
220,Allen County Public Library Geneaology Center,2009-04-03,10
221,Allen County Public Library Geneaology Center,2009-04-06,13
222,Allen County Public Library Geneaology Center,2009-04-07,11
223,Allen County Public Library Geneaology Center,2009-04-08,10
224,Allen County Public Library Geneaology Center,2009-04-09,13
225,Allen County Public Library Geneaology Center,2009-04-10,10
226,Allen County Public Library Geneaology Center,2009-04-13,14
227,Allen County Public Library Geneaology Center,2009-04-14,14
228,Allen County Public Library Geneaology Center,2009-04-15,11
229,Allen County Public Library Geneaology Center,2009-04-16,12
230,Allen County Public Library Geneaology Center,2009-04-17,13
231,Allen County Public Library Geneaology Center,2009-04-20,15
232,Allen County Public Library Geneaology Center,2009-04-21,11
233,Allen County Public Library Geneaology Center,2009-04-22,5
