,center_type,books_scanned,percent
0,,15553,0.22888110794173147
1,academic,1314866,19.349835200598772
2,archive,21134,0.31101223784739623
3,bpo,4048959,59.58530328108051
4,government,700435,10.307743769122785
5,hq,185807,2.734373562870784
6,museum,35502,0.5224546450297274
7,public,472975,6.960396195508291
