,month_year,center_type,index,name,books_scanned
330,2011-08,government,5301,Library of CongressSmithsonian Libraries and Archives,2813
331,2011-08,museum,2547,"Natural History Museum Library, London",76
332,2011-08,public,689,Allen County Public Library Geneaology CenterBoston Public Library,3958
333,2011-09,academic,33316,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of TorontoYiddish Book Center",5357
334,2011-09,archive,4445,Church History LibraryThe Archive of Contemporary Music,871
335,2011-09,bpo,3139,Datum Data Co. Ltd.Hong Kong,15022
336,2011-09,government,5303,Library of CongressSmithsonian Libraries and Archives,2594
337,2011-09,museum,2548,"Natural History Museum Library, London",43
338,2011-09,public,3665,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,4280
339,2011-10,academic,37621,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Chinese Academy of SciencesUniversity of TorontoYiddish Book Center",4242
340,2011-10,archive,4447,Church History LibraryThe Archive of Contemporary Music,402
341,2011-10,bpo,3141,Datum Data Co. Ltd.Hong Kong,17020
342,2011-10,government,6364,California State LibraryLibrary of CongressSmithsonian Libraries and Archives,2269
343,2011-10,museum,2549,"Natural History Museum Library, London",31
344,2011-10,public,3668,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,2979
345,2011-11,academic,29286,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of TorontoYiddish Book Center",4182
346,2011-11,archive,4449,Church History LibraryThe Archive of Contemporary Music,505
347,2011-11,bpo,3143,Datum Data Co. Ltd.Hong Kong,16248
348,2011-11,government,6367,California State LibraryLibrary of CongressSmithsonian Libraries and Archives,2537
349,2011-11,museum,2550,"Natural History Museum Library, London",42
350,2011-11,public,3671,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,2638
351,2011-12,academic,30576,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityColumbia UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of TorontoYiddish Book Center",3094
352,2011-12,archive,4451,Church History LibraryThe Archive of Contemporary Music,320
353,2011-12,bpo,3145,Datum Data Co. Ltd.Hong Kong,14763
354,2011-12,government,6370,California State LibraryLibrary of CongressSmithsonian Libraries and Archives,2107
355,2011-12,museum,2551,"Natural History Museum Library, London",33
356,2011-12,public,3674,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,2071
357,2012-01,academic,29310,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of TorontoYiddish Book Center",4535
358,2012-01,archive,4453,Church History LibraryThe Archive of Contemporary Music,1251
359,2012-01,bpo,3147,Datum Data Co. Ltd.Hong Kong,5087
360,2012-01,government,6373,California State LibraryLibrary of CongressSmithsonian Libraries and Archives,2218
361,2012-01,public,3677,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,3149
362,2012-02,academic,30516,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of TorontoYiddish Book Center",6285
363,2012-02,archive,4455,Church History LibraryThe Archive of Contemporary Music,1092
364,2012-02,bpo,3149,Datum Data Co. Ltd.Hong Kong,11793
365,2012-02,government,6376,California State LibraryLibrary of CongressSmithsonian Libraries and Archives,2447
366,2012-02,public,3680,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,3143
367,2012-03,academic,30529,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of TorontoYiddish Book Center",5870
368,2012-03,archive,4457,Church History LibraryThe Archive of Contemporary Music,1684
369,2012-03,bpo,3151,Datum Data Co. Ltd.Hong Kong,20193
370,2012-03,government,6379,California State LibraryLibrary of CongressSmithsonian Libraries and Archives,3122
371,2012-03,hq,4105,Internet Archive HeadquartersInternt Archive Physical Archive,11
372,2012-03,public,3683,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,3515
373,2012-04,academic,34598,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of TorontoYiddish Book Center",5068
374,2012-04,archive,4459,Church History LibraryThe Archive of Contemporary Music,731
375,2012-04,bpo,1304,Datum Data Co. Ltd.,20441
376,2012-04,government,6382,California State LibraryLibrary of CongressSmithsonian Libraries and Archives,2790
377,2012-04,public,3686,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,3372
378,2012-05,academic,34612,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of TorontoYiddish Book Center",7363
379,2012-05,archive,4461,Church History LibraryThe Archive of Contemporary Music,583
380,2012-05,bpo,3154,Datum Data Co. Ltd.Hong Kong,22914
381,2012-05,government,6385,California State LibraryLibrary of CongressSmithsonian Libraries and Archives,2823
382,2012-05,hq,4107,Internet Archive HeadquartersInternt Archive Physical Archive,38
383,2012-05,museum,2552,"Natural History Museum Library, London",3
384,2012-05,public,3689,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,3767
385,2012-06,academic,34626,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of TorontoYiddish Book Center",5761
386,2012-06,archive,4463,Church History LibraryThe Archive of Contemporary Music,1034
387,2012-06,bpo,1306,Datum Data Co. Ltd.,20660
388,2012-06,government,6388,California State LibraryLibrary of CongressSmithsonian Libraries and Archives,2742
389,2012-06,hq,2106,Internt Archive Physical Archive,301
390,2012-06,museum,2553,"Natural History Museum Library, London",10
391,2012-06,public,3692,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,3489
392,2012-07,academic,30581,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of TorontoYiddish Book Center",5914
393,2012-07,archive,4465,Church History LibraryThe Archive of Contemporary Music,1516
394,2012-07,bpo,3157,Datum Data Co. Ltd.Hong Kong,20098
395,2012-07,government,6391,California State LibraryLibrary of CongressSmithsonian Libraries and Archives,3215
396,2012-07,hq,2107,Internt Archive Physical Archive,131
397,2012-07,museum,2554,"Natural History Museum Library, London",20
398,2012-07,public,3695,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,3038
399,2012-08,academic,34653,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of TorontoYiddish Book Center",7737
400,2012-08,archive,4467,Church History LibraryThe Archive of Contemporary Music,875
401,2012-08,bpo,3159,Datum Data Co. Ltd.Hong Kong,26484
402,2012-08,government,6394,California State LibraryLibrary of CongressSmithsonian Libraries and Archives,3722
403,2012-08,hq,2108,Internt Archive Physical Archive,204
404,2012-08,museum,2555,"Natural History Museum Library, London",26
405,2012-08,public,3698,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,3119
406,2012-09,academic,30607,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of TorontoYiddish Book Center",5935
407,2012-09,archive,4469,Church History LibraryThe Archive of Contemporary Music,219
408,2012-09,bpo,3161,Datum Data Co. Ltd.Hong Kong,22910
409,2012-09,government,6397,California State LibraryLibrary of CongressSmithsonian Libraries and Archives,3414
410,2012-09,museum,2556,"Natural History Museum Library, London",53
411,2012-09,public,3701,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,2385
412,2012-10,academic,34680,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of TorontoYiddish Book Center",7173
413,2012-10,archive,4471,Church History LibraryThe Archive of Contemporary Music,220
414,2012-10,bpo,1310,Datum Data Co. Ltd.,13451
415,2012-10,government,6400,California State LibraryLibrary of CongressSmithsonian Libraries and Archives,3686
416,2012-10,museum,2557,"Natural History Museum Library, London",23
417,2012-10,public,3704,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,3273
418,2012-11,academic,34694,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of TorontoYiddish Book Center",6173
419,2012-11,archive,3327,The Archive of Contemporary Music,58
420,2012-11,bpo,1311,Datum Data Co. Ltd.,56
421,2012-11,government,6403,California State LibraryLibrary of CongressSmithsonian Libraries and Archives,2730
422,2012-11,museum,2558,"Natural History Museum Library, London",116
423,2012-11,public,3707,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,4081
424,2012-12,academic,34939,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of Chinese Academy of SciencesUniversity of TorontoYiddish Book Center",3686
425,2012-12,archive,3328,The Archive of Contemporary Music,40
426,2012-12,bpo,1312,Datum Data Co. Ltd.,4690
427,2012-12,government,8712,California State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and Archives,1432
428,2012-12,museum,2559,"Natural History Museum Library, London",31
429,2012-12,public,3710,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,3175
430,2013-01,academic,34721,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of TorontoYiddish Book Center",7105
431,2013-01,archive,4475,Church History LibraryThe Archive of Contemporary Music,135
432,2013-01,bpo,1313,Datum Data Co. Ltd.,1417
433,2013-01,government,8716,California State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and Archives,2557
434,2013-01,museum,2560,"Natural History Museum Library, London",50
435,2013-01,public,3713,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,3553
436,2013-02,academic,34735,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of TorontoYiddish Book Center",5648
437,2013-02,archive,3330,The Archive of Contemporary Music,35
438,2013-02,bpo,1314,Datum Data Co. Ltd.,195
439,2013-02,government,8720,California State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and Archives,2714
440,2013-02,museum,2561,"Natural History Museum Library, London",25
441,2013-02,public,3716,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,3168
442,2013-03,academic,34749,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of TorontoYiddish Book Center",6367
443,2013-03,archive,4478,Church History LibraryThe Archive of Contemporary Music,233
444,2013-03,bpo,1315,Datum Data Co. Ltd.,1270
445,2013-03,government,8724,California State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and Archives,2468
446,2013-03,museum,2562,"Natural History Museum Library, London",41
447,2013-03,public,3719,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,3052
448,2013-04,academic,34763,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of TorontoYiddish Book Center",7486
449,2013-04,archive,3332,The Archive of Contemporary Music,47
450,2013-04,bpo,1316,Datum Data Co. Ltd.,1482
451,2013-04,government,8728,California State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and Archives,4199
452,2013-04,museum,2563,"Natural History Museum Library, London",46
453,2013-04,public,3722,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,3753
454,2013-05,academic,34777,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of TorontoYiddish Book Center",6045
455,2013-05,archive,3333,The Archive of Contemporary Music,32
456,2013-05,bpo,3170,Datum Data Co. Ltd.Hong Kong,179
457,2013-05,government,8732,California State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and Archives,6113
458,2013-05,museum,2564,"Natural History Museum Library, London",51
459,2013-05,public,3725,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,4412
460,2013-06,academic,34791,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of TorontoYiddish Book Center",6230
461,2013-06,archive,3334,The Archive of Contemporary Music,30
462,2013-06,bpo,3172,Datum Data Co. Ltd.Hong Kong,1084
463,2013-06,government,8736,California State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and Archives,4448
464,2013-06,hq,2109,Internt Archive Physical Archive,23
465,2013-06,museum,2565,"Natural History Museum Library, London",27
466,2013-06,public,3728,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,3124
467,2013-07,academic,34805,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of TorontoYiddish Book Center",5574
468,2013-07,archive,3335,The Archive of Contemporary Music,66
469,2013-07,bpo,3174,Datum Data Co. Ltd.Hong Kong,1675
470,2013-07,government,8740,California State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and Archives,5406
471,2013-07,hq,2110,Internt Archive Physical Archive,41
472,2013-07,museum,4236,"Getty Research Institute Valencia WarehouseNatural History Museum Library, London",62
473,2013-07,public,5632,Allen County Public Library Geneaology CenterBoston Public LibraryHopewell JunctionSan Francisco Public Library,3136
474,2013-08,academic,34819,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of TorontoYiddish Book Center",7695
475,2013-08,archive,3336,The Archive of Contemporary Music,36
476,2013-08,bpo,3176,Datum Data Co. Ltd.Hong Kong,1814
477,2013-08,government,8744,California State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and Archives,4568
478,2013-08,museum,4238,"Getty Research Institute Valencia WarehouseNatural History Museum Library, London",310
479,2013-08,public,5636,Allen County Public Library Geneaology CenterBoston Public LibraryHopewell JunctionSan Francisco Public Library,2425
480,2013-09,academic,30011,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Toronto",5399
481,2013-09,bpo,3178,Datum Data Co. Ltd.Hong Kong,2095
482,2013-09,government,7666,Library of CongressNational Agricultural LibrarySmithsonian Libraries and Archives,3448
483,2013-09,museum,4240,"Getty Research Institute Valencia WarehouseNatural History Museum Library, London",395
484,2013-09,public,3737,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,1916
485,2013-10,academic,30024,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Toronto",4908
486,2013-10,archive,3337,The Archive of Contemporary Music,11
487,2013-10,bpo,1322,Datum Data Co. Ltd.,3170
488,2013-10,government,7669,Library of CongressNational Agricultural LibrarySmithsonian Libraries and Archives,2581
489,2013-10,museum,4242,"Getty Research Institute Valencia WarehouseNatural History Museum Library, London",455
490,2013-10,public,3740,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,2156
491,2013-11,academic,34208,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of AlbertaUniversity of Toronto",5881
492,2013-11,archive,3338,The Archive of Contemporary Music,16
493,2013-11,bpo,3181,Datum Data Co. Ltd.Hong Kong,3096
494,2013-11,government,8754,California State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and Archives,4854
495,2013-11,museum,4244,"Getty Research Institute Valencia WarehouseNatural History Museum Library, London",277
496,2013-11,public,3743,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,2974
497,2013-12,academic,34222,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of AlbertaUniversity of Toronto",6255
498,2013-12,archive,3339,The Archive of Contemporary Music,6
499,2013-12,bpo,1324,Datum Data Co. Ltd.,3442
500,2013-12,government,12769,British LibraryCalifornia State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and ArchivesState Library of Pennsylvania,5328
501,2013-12,museum,4246,"Getty Research Institute Valencia WarehouseNatural History Museum Library, London",80
502,2013-12,public,3746,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,1626
503,2014-01,academic,38530,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of AlbertaUniversity of Chinese Academy of SciencesUniversity of Toronto",7024
504,2014-01,archive,3340,The Archive of Contemporary Music,29
505,2014-01,bpo,1325,Datum Data Co. Ltd.,3107
506,2014-01,government,12775,British LibraryCalifornia State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and ArchivesState Library of Pennsylvania,6067
507,2014-01,museum,4248,"Getty Research Institute Valencia WarehouseNatural History Museum Library, London",279
508,2014-01,public,3749,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,2140
509,2014-02,academic,34250,"BYU, HawaiiBYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityNational Library of ScotlandPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of AlbertaUniversity of Toronto",4922
510,2014-02,archive,3341,The Archive of Contemporary Music,12
511,2014-02,bpo,3185,Datum Data Co. Ltd.Hong Kong,395
512,2014-02,government,12781,British LibraryCalifornia State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and ArchivesState Library of Pennsylvania,5112
513,2014-02,museum,4250,"Getty Research Institute Valencia WarehouseNatural History Museum Library, London",378
514,2014-02,public,3752,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,2075
515,2014-03,academic,31284,"BYU, HawaiiBYU, Idaho Family History LibraryBrown UniversityClemson UniversityDuke UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of AlbertaUniversity of Toronto",6364
516,2014-03,archive,3342,The Archive of Contemporary Music,1
517,2014-03,bpo,1327,Datum Data Co. Ltd.,3057
518,2014-03,government,12787,British LibraryCalifornia State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and ArchivesState Library of Pennsylvania,5688
519,2014-03,museum,4252,"Getty Research Institute Valencia WarehouseNatural History Museum Library, London",296
520,2014-03,public,3755,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,1993
521,2014-04,academic,31011,"BYU, ProvoBrown UniversityClemson UniversityDuke UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of AlbertaUniversity of Toronto",6347
522,2014-04,archive,3343,The Archive of Contemporary Music,8
523,2014-04,bpo,1328,Datum Data Co. Ltd.,2726
524,2014-04,government,12793,British LibraryCalifornia State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and ArchivesState Library of Pennsylvania,4757
525,2014-04,museum,4254,"Getty Research Institute Valencia WarehouseNatural History Museum Library, London",442
526,2014-04,public,3758,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,1848
527,2014-05,academic,31425,"BYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of AlbertaUniversity of Toronto",4389
528,2014-05,archive,3344,The Archive of Contemporary Music,14
529,2014-05,bpo,1329,Datum Data Co. Ltd.,1979
530,2014-05,government,12799,British LibraryCalifornia State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and ArchivesState Library of Pennsylvania,4587
531,2014-05,museum,4256,"Getty Research Institute Valencia WarehouseNatural History Museum Library, London",556
532,2014-05,public,3761,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,2734
533,2014-06,academic,31437,"BYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of AlbertaUniversity of Toronto",5478
534,2014-06,archive,3345,The Archive of Contemporary Music,18
535,2014-06,bpo,3190,Datum Data Co. Ltd.Hong Kong,1985
536,2014-06,government,12805,British LibraryCalifornia State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and ArchivesState Library of Pennsylvania,5278
537,2014-06,museum,4258,"Getty Research Institute Valencia WarehouseNatural History Museum Library, London",459
538,2014-06,public,3764,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,2058
539,2014-07,academic,35808,"BYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of AlbertaUniversity of PretoriaUniversity of Toronto",5435
540,2014-07,archive,3346,The Archive of Contemporary Music,19
541,2014-07,bpo,1331,Datum Data Co. Ltd.,1554
542,2014-07,government,9584,British LibraryCalifornia State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and Archives,4340
543,2014-07,museum,4260,"Getty Research Institute Valencia WarehouseNatural History Museum Library, London",514
544,2014-07,public,5670,Allen County Public Library Geneaology CenterBoston Public LibraryHopewell JunctionSan Francisco Public Library,1686
545,2014-08,academic,31701,"BYU, HawaiiBYU, ProvoBrown UniversityClemson UniversityDuke UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of AlbertaUniversity of PretoriaUniversity of Toronto",5769
546,2014-08,archive,3347,The Archive of Contemporary Music,1
547,2014-08,bpo,1332,Datum Data Co. Ltd.,2265
548,2014-08,government,9589,British LibraryCalifornia State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and Archives,4435
549,2014-08,hq,2111,Internt Archive Physical Archive,134
550,2014-08,museum,4262,"Getty Research Institute Valencia WarehouseNatural History Museum Library, London",280
551,2014-08,public,5674,Allen County Public Library Geneaology CenterBoston Public LibraryHopewell JunctionSan Francisco Public Library,1635
552,2014-09,academic,31751,"BYU, Idaho Family History LibraryBYU, ProvoBrown UniversityClemson UniversityDuke UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of AlbertaUniversity of PretoriaUniversity of Toronto",6354
553,2014-09,archive,3348,The Archive of Contemporary Music,13
554,2014-09,bpo,1333,Datum Data Co. Ltd.,2817
555,2014-09,government,9594,British LibraryCalifornia State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and Archives,4628
556,2014-09,hq,2112,Internt Archive Physical Archive,333
557,2014-09,museum,4264,"Getty Research Institute Valencia WarehouseNatural History Museum Library, London",278
558,2014-09,public,3773,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,2619
559,2014-10,academic,31640,"BYU, Idaho Family History LibraryBYU, ProvoBrown UniversityCentre for Strategic and International Studies, JakartaDuke UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of AlbertaUniversity of PretoriaUniversity of Toronto",5874
560,2014-10,archive,3349,The Archive of Contemporary Music,14
561,2014-10,bpo,1334,Datum Data Co. Ltd.,1272
562,2014-10,government,9599,British LibraryCalifornia State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and Archives,3357
563,2014-10,hq,2113,Internt Archive Physical Archive,154
564,2014-10,museum,4266,"Getty Research Institute Valencia WarehouseNatural History Museum Library, London",286
565,2014-10,public,3776,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,2111
566,2014-11,academic,31652,"BYU, Idaho Family History LibraryBYU, ProvoBrown UniversityCentre for Strategic and International Studies, JakartaDuke UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of AlbertaUniversity of PretoriaUniversity of Toronto",5344
567,2014-11,archive,3350,The Archive of Contemporary Music,15
568,2014-11,bpo,1335,Datum Data Co. Ltd.,1345
569,2014-11,government,9604,British LibraryCalifornia State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and Archives,3667
570,2014-11,hq,2114,Internt Archive Physical Archive,144
571,2014-11,museum,4268,"Getty Research Institute Valencia WarehouseNatural History Museum Library, London",220
572,2014-11,public,3779,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,2075
573,2014-12,academic,27071,"BYU, ProvoBrown UniversityCentre for Strategic and International Studies, JakartaDuke UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of PretoriaUniversity of Toronto",5999
574,2014-12,archive,3351,The Archive of Contemporary Music,3
575,2014-12,bpo,1336,Datum Data Co. Ltd.,1227
576,2014-12,government,9609,British LibraryCalifornia State LibraryLibrary of CongressNational Agricultural LibrarySmithsonian Libraries and Archives,4302
577,2014-12,hq,2115,Internt Archive Physical Archive,86
578,2014-12,museum,4270,"Getty Research Institute Valencia WarehouseNatural History Museum Library, London",199
579,2014-12,public,3782,Allen County Public Library Geneaology CenterBoston Public LibrarySan Francisco Public Library,2039
580,2015-01,academic,25890,"BYU, Idaho Family History LibraryBrown UniversityDuke UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of PretoriaUniversity of Toronto",5294
