,scan_center,lat,long,name,center_visuals_path,data_repo_link,object_location
25,raleigh,35.78748428,-78.66939426,North Carolina State University,north_carolina_state_university,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/north_carolina_state_university/
26,provo,"40.24888001047114, -111.64850939879179",-111.66089,"BYU, Provo",byu_provo,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/byu_provo/
27,washingtondc,"38.891327348794235, -77.02586403862762",-76.99963604,Smithsonian Libraries and Archives,smithsonian_libraries_and_archives,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/smithsonian_libraries_and_archives/
28,Capitolhill,38.89126054,-77.02612153,Smithsonian Libraries and Archives,smithsonian_libraries_and_archives,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/smithsonian_libraries_and_archives/
29,tt_georgetown,"38.90659980589519, -77.07223903173019",-77.07212976,Georgetown University,georgetown_university,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/georgetown_university/
30,sheridan,37.80039616,-122.4603638,Internet Archive Sheridan Headquarters,internet_archive_sheridan_headquarters,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/internet_archive_sheridan_headquarters/
31,durham,36.00354706,-78.93830223,Duke University,duke_university,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/duke_university/
32,providence,41.82598954,-71.40246227,Brown University,brown_university,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/brown_university/
33,london,51.49684189,-0.176270642,"Natural History Museum Library, London",natural_history_museum_library_london,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/natural_history_museum_library_london/
34,manhattan,40.71867548,-74.00374316,The Archive of Contemporary Music,the_archive_of_contemporary_music,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/the_archive_of_contemporary_music/
35,honolulu,21.64181757,-157.9265819,"BYU, Hawaii",byu_hawaii,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/byu_hawaii/
36,rexburg,43.81513782,-111.7835769,"BYU, Idaho Family History Library",byu_idaho_family_history_library,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/byu_idaho_family_history_library/
37,richmond,37.92950359,-122.3459874,Internt Archive Physical Archive,internt_archive_physical_archive,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/internt_archive_physical_archive/
38,durham2,36.00354706,-78.93830223,Duke University,duke_university,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/duke_university/
39,valencia,34.4198712,-118.5622386,Getty Research Institute Valencia Warehouse,getty_research_institute_valencia_warehouse,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/getty_research_institute_valencia_warehouse/
40,richflorida,37.92950359,-122.3459874,Internt Archive Physical Archive,internt_archive_physical_archive,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/internt_archive_physical_archive/
41,gainesville,29.67605506,-82.34584836,University of Florida,university_of_florida,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/university_of_florida/
42,tt_osu,40.00685718,-83.03021857,The Ohio State University,the_ohio_state_university,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/the_ohio_state_university/
43,tt_numismatic,40.72401342,-74.0064435,American Numismatic Society,american_numismatic_society,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/american_numismatic_society/
44,tt_getty,34.07768084,-118.4752916,Getty Research Institute,getty_research_institute,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/getty_research_institute/
45,tt_providence,41.82582965,-71.40050963,Brown University,brown_university,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/brown_university/
46,tt_harvardernstmayr,42.37690652,-71.11665402,Harvard,harvard,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/harvard/
47,pretoria,"-25.75484280055574,",28.2314278,University of Pretoria,university_of_pretoria,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/university_of_pretoria/
48,UofT,43.66312452,-79.3955813,University of Toronto,university_of_toronto,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/university_of_toronto/
49,tt_sok,13.01508353,77.58188903,The Servants of Knowledge,the_servants_of_knowledge,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/the_servants_of_knowledge/
