,name,year,books_scanned
481,UIUC,2001,3
482,UIUC,2007,4597
483,UIUC,2008,6139
484,UIUC,2009,6792
485,UIUC,2010,4143
486,UIUC,2011,3999
487,UIUC,2012,9990
488,UIUC,2013,12824
489,UIUC,2014,4817
490,UIUC,2015,3903
491,UIUC,2016,6131
492,UIUC,2017,11732
493,UIUC,2018,6926
494,UIUC,2019,6714
495,UIUC,2020,2325
496,UIUC,2021,2743
497,UIUC,2022,4625
498,UIUC,2023,2251
