,name,scan_day,operator,identifier,books_per_worker
402,Allen County Public Library Geneaology Center,2009-12-18,7,46,6.571428571428571
403,Allen County Public Library Geneaology Center,2009-12-21,10,50,5.0
404,Allen County Public Library Geneaology Center,2009-12-22,7,20,2.857142857142857
405,Allen County Public Library Geneaology Center,2009-12-23,10,18,1.8
406,Allen County Public Library Geneaology Center,2010-01-04,13,25,1.9230769230769231
407,Allen County Public Library Geneaology Center,2010-01-05,13,35,2.6923076923076925
408,Allen County Public Library Geneaology Center,2010-01-06,12,34,2.8333333333333335
409,Allen County Public Library Geneaology Center,2010-01-07,11,33,3.0
410,Allen County Public Library Geneaology Center,2010-01-08,13,39,3.0
411,Allen County Public Library Geneaology Center,2010-01-11,12,43,3.5833333333333335
412,Allen County Public Library Geneaology Center,2010-01-12,13,33,2.5384615384615383
413,Allen County Public Library Geneaology Center,2010-01-13,17,49,2.8823529411764706
414,Allen County Public Library Geneaology Center,2010-01-14,9,41,4.555555555555555
415,Allen County Public Library Geneaology Center,2010-01-15,12,46,3.8333333333333335
416,Allen County Public Library Geneaology Center,2010-01-18,11,36,3.272727272727273
417,Allen County Public Library Geneaology Center,2010-01-19,13,42,3.230769230769231
418,Allen County Public Library Geneaology Center,2010-01-20,12,35,2.9166666666666665
419,Allen County Public Library Geneaology Center,2010-01-21,12,32,2.6666666666666665
420,Allen County Public Library Geneaology Center,2010-01-22,13,43,3.3076923076923075
421,Allen County Public Library Geneaology Center,2010-01-25,13,45,3.4615384615384617
422,Allen County Public Library Geneaology Center,2010-01-26,11,97,8.818181818181818
423,Allen County Public Library Geneaology Center,2010-01-27,12,108,9.0
424,Allen County Public Library Geneaology Center,2010-01-28,15,55,3.6666666666666665
425,Allen County Public Library Geneaology Center,2010-01-29,14,47,3.357142857142857
426,Allen County Public Library Geneaology Center,2010-02-01,12,46,3.8333333333333335
427,Allen County Public Library Geneaology Center,2010-02-02,14,55,3.9285714285714284
428,Allen County Public Library Geneaology Center,2010-02-03,12,59,4.916666666666667
429,Allen County Public Library Geneaology Center,2010-02-04,14,72,5.142857142857143
430,Allen County Public Library Geneaology Center,2010-02-05,14,62,4.428571428571429
431,Allen County Public Library Geneaology Center,2010-02-08,13,45,3.4615384615384617
432,Allen County Public Library Geneaology Center,2010-02-09,11,38,3.4545454545454546
433,Allen County Public Library Geneaology Center,2010-02-10,7,19,2.7142857142857144
434,Allen County Public Library Geneaology Center,2010-02-11,12,54,4.5
435,Allen County Public Library Geneaology Center,2010-02-12,13,31,2.3846153846153846
436,Allen County Public Library Geneaology Center,2010-02-16,10,62,6.2
437,Allen County Public Library Geneaology Center,2010-02-17,14,57,4.071428571428571
438,Allen County Public Library Geneaology Center,2010-02-18,13,55,4.230769230769231
439,Allen County Public Library Geneaology Center,2010-02-19,14,70,5.0
440,Allen County Public Library Geneaology Center,2010-02-22,11,42,3.8181818181818183
441,Allen County Public Library Geneaology Center,2010-02-23,13,66,5.076923076923077
442,Allen County Public Library Geneaology Center,2010-02-24,16,62,3.875
443,Allen County Public Library Geneaology Center,2010-02-25,15,80,5.333333333333333
444,Allen County Public Library Geneaology Center,2010-02-26,13,57,4.384615384615385
445,Allen County Public Library Geneaology Center,2010-03-01,14,52,3.7142857142857144
446,Allen County Public Library Geneaology Center,2010-03-02,13,55,4.230769230769231
447,Allen County Public Library Geneaology Center,2010-03-03,15,61,4.066666666666666
448,Allen County Public Library Geneaology Center,2010-03-04,13,37,2.8461538461538463
449,Allen County Public Library Geneaology Center,2010-03-05,14,43,3.0714285714285716
450,Allen County Public Library Geneaology Center,2010-03-08,13,71,5.461538461538462
451,Allen County Public Library Geneaology Center,2010-03-09,9,38,4.222222222222222
452,Allen County Public Library Geneaology Center,2010-03-10,12,35,2.9166666666666665
453,Allen County Public Library Geneaology Center,2010-03-11,10,43,4.3
454,Allen County Public Library Geneaology Center,2010-03-12,13,41,3.1538461538461537
455,Allen County Public Library Geneaology Center,2010-03-15,12,44,3.6666666666666665
456,Allen County Public Library Geneaology Center,2010-03-16,13,41,3.1538461538461537
457,Allen County Public Library Geneaology Center,2010-03-17,14,61,4.357142857142857
458,Allen County Public Library Geneaology Center,2010-03-18,11,51,4.636363636363637
459,Allen County Public Library Geneaology Center,2010-03-19,8,52,6.5
460,Allen County Public Library Geneaology Center,2010-03-22,9,35,3.888888888888889
461,Allen County Public Library Geneaology Center,2010-03-23,11,38,3.4545454545454546
462,Allen County Public Library Geneaology Center,2010-03-24,13,39,3.0
463,Allen County Public Library Geneaology Center,2010-03-25,14,51,3.642857142857143
464,Allen County Public Library Geneaology Center,2010-03-26,11,36,3.272727272727273
465,Allen County Public Library Geneaology Center,2010-03-29,11,49,4.454545454545454
466,Allen County Public Library Geneaology Center,2010-03-30,14,56,4.0
467,Allen County Public Library Geneaology Center,2010-03-31,10,55,5.5
468,Allen County Public Library Geneaology Center,2010-04-01,14,46,3.2857142857142856
469,Allen County Public Library Geneaology Center,2010-04-02,12,30,2.5
470,Allen County Public Library Geneaology Center,2010-04-05,14,60,4.285714285714286
471,Allen County Public Library Geneaology Center,2010-04-06,11,58,5.2727272727272725
472,Allen County Public Library Geneaology Center,2010-04-07,11,32,2.909090909090909
473,Allen County Public Library Geneaology Center,2010-04-08,11,37,3.3636363636363638
474,Allen County Public Library Geneaology Center,2010-04-09,12,34,2.8333333333333335
475,Allen County Public Library Geneaology Center,2010-04-12,12,52,4.333333333333333
476,Allen County Public Library Geneaology Center,2010-04-13,11,75,6.818181818181818
477,Allen County Public Library Geneaology Center,2010-04-14,15,76,5.066666666666666
478,Allen County Public Library Geneaology Center,2010-04-15,13,40,3.076923076923077
479,Allen County Public Library Geneaology Center,2010-04-16,14,51,3.642857142857143
480,Allen County Public Library Geneaology Center,2010-04-19,14,46,3.2857142857142856
481,Allen County Public Library Geneaology Center,2010-04-20,12,49,4.083333333333333
482,Allen County Public Library Geneaology Center,2010-04-21,11,41,3.727272727272727
483,Allen County Public Library Geneaology Center,2010-04-22,12,43,3.5833333333333335
