scan_center,lat,long,name,type
tt_calacademy,37.77042434,-122.4661162,California Acaddemy of Sciences,academic
tt_jakarta,-6.176488669,106.8174559,"Centre for Strategic and International Studies, Jakarta",academic
S.V.Digital LibraryTTD,17.45672402,78.34022488,International Institute of Information Technology Hyderabad,academic
Hong Kong,22.31836625,114.181248,Hong Kong,bpo
hangzhou,30.30877701,120.0865531,Zhejiang University,academic
clemson,34.67345992,-82.8367119,Clemson University,academic
Osmania University,17.41379886,78.52871404,Osmania University,academic
102,,,,
Kahle/Austin Foundation,37.79621158,-122.4492636,Kahle/Austin Foundation,hq
CCL HYDERABAD,17.45672402,78.34022488,International Institute of Information Technology Hyderabad,academic
clarksville,-76.90066207,-87.36517104,John Hopkins University Library Offsite Storage,academic
tt_victoria,48.46368117,-123.3096647,University of Victoria,academic
poughkeepsie,41.58494026,-73.8016634,Hopewell Junction,public
tt_warwick,52.38191585,-1.562005427,University of Warwick,academic
lond,51.49684189,-0.176270642,"Natural History Museum Library, London",museum
alberta,53.52319337,-113.5271984,University of Alberta,academic
MSN,,,,
tt_riks,37.59104552,127.0281313,Research Institute of Korean Studies,academic
1dollarscan (zLibro),37.37455087,-121.9099017,1 Dollar Scan,
RMSC_IIITH,17.45672402,78.34022488,"Regional Mega Scanning Center by IIT, Hyderbad",academic
tt_stlouis,38.65014738,-90.32838852,Washington University in St. Louis,academic
saltlakecity,40.77200728,-111.8906814,Church History Library,archive
tt_louisville,38.25759766,-85.71422071,American Printing House for the Blind,archive
tt_oberlin,41.29341848,-82.22281366,Oberlin College Libraries,academic
tt_clatsopcounty,46.18852036,-123.8254003,Clatsop County Historical Society,archive
brussels,"40.24888001047114, -111.64850939879179",-111.66089,"BYU, Provo",academic
tt_harrisburg,40.2650287,-76.88065236,State Library of Pennsylvania,government
tt_statenisland,40.64492345,-74.10271703,Staten Island Museum,museum
utah,40.77037084,-111.8945972,Family Search Library,archive
hbl_storrs,41.80696142,-72.25146626,University of Connecticut,academic
tt_perkins,42.36138709,-71.17525908,Perkins School for the Blind,archive
tt_harvardwidener,42.37690652,-71.11665402,Harvard,academic
AP Press Academy Archives,16.50612678,80.64675882,Press Academy of Andhra Pradesh,archive
hamilton,43.26097698,-79.8703973,Hamilton Public Library,public
tt_nybg,40.86181013,-73.8809266,New York Botanical Garden,museum
mobot,38.6170646,-90.26278742,Missouri Botanical Garden,museum
bali,-8.685606156,115.2297763,Perpustakaan Provinsi Bali,government
