,name,year,books_scanned
31,American Printing House for the Blind,2015,201
32,American Printing House for the Blind,2016,696
33,American Printing House for the Blind,2017,906
34,American Printing House for the Blind,2018,120
35,American Printing House for the Blind,2019,392
36,American Printing House for the Blind,2021,2
37,American Printing House for the Blind,2022,7
38,American Printing House for the Blind,2023,1
